order_id,product,name,email,phone,address,province,city,subdistrict,zip,status,payment_status,payment_method,payment_info,product_price,cogs,discount,quantity,bump,bump_price,notes,courier,shipping_cost,cod_cost,shipping_markup,receipt_number,other_cost,gross_revenue,net_revenue,created_at,processing_at,completed_at,paid_at,handled_by,coupon,product_code,utm_campaign,utm_medium,utm_source,utm_content,utm_term,tags,dropshipper_name,dropshipper_phone,variation,order_type,reseller_name,weight,original_shipping_cost,ip_address,variation_code,shipping_method
CBC-101,"A.3 Kacamata Multifokus Photocromic","Budi Santoso",,081234567891,"Jl. Melati No. 10, RT 01/RW 02","DKI JAKARTA","Jakarta Pusat",Gambir,10110,processing,paid,bank_transfer,,119000,,,1,,,,,50000,,,,,169000,,,,,,,,KMP,,,,,,,,,"Ukuran: Usia 45-46 Tahun Plus +1.50",,,1,,,,
CBC-102,"A.3 Kacamata Multifokus Photocromic","Andi Wijaya",,081234567892,"Jl. Kenanga No. 5, Cileunyi","JAWA BARAT",Bandung,Cileunyi,40623,processing,paid,bank_transfer,,119000,,,2,,,,,50000,,,,,169000,,,,,,,,KMP,,,,,,,,,"Ukuran: Usia 43-44 Tahun Plus +1.00",,,1,,,,
CBC-103,"Kacamata Sporty Photocromic","Citra Lestari",,081234567893,"Jl. Cemara No. 7, Cikarang Utara","JAWA BARAT",Bekasi,"Cikarang Utara",17530,processing,paid,bank_transfer,,119000,,,1,,,,,50000,,,,,169000,,,,,,,,KSP,,,,,,,,,"Ukuran: Usia 45-46 Tahun Plus +2.00",,,1,,,,
CBC-104,"A.3 Kacamata Baca & Jalan","Dewi Anggraini",,081234567894,"Jl. Mawar No. 12, Padang","SUMATRA BARAT",Padang,"Padang Barat",25111,processing,paid,bank_transfer,,119000,,,2,,,,,50000,,,,,169000,,,,,,,,KBJ,,,,,,,,,"Ukuran: Usia 44-45 Tahun Plus +1.25",,,1,,,,
CBC-105,"A.3 Kabel Casan Hp 3IN1","Eko Prasetyo",,081234567895,"Jl. Anggrek No. 3, Pontianak","KALIMANTAN BARAT",Pontianak,"Pontianak Timur",78231,processing,paid,bank_transfer,,25000,,,1,,,,,50000,,,,,75000,,,,,,,,KCHP,,,,,,,,,,,,1,,,,
CBC-201,"A.3 Kacamata Multifokus Photocromic","Fitri Handayani",,081234567896,"Jl. Dahlia No. 9, Depok","JAWA BARAT",Depok,"Pancoran Mas",16431,processing,paid,cod,,119000,,,1,,,,,50000,,,,,169000,,,,,,,,KMP,,,,,,,,,"Ukuran: Usia 46-47 Tahun Plus +1.75",,,1,,,,
CBC-202,"A.3 Kacamata Multifokus Photocromic","Gunawan Hartono",,081234567897,"Jl. Kamboja No. 21, Bogor","JAWA BARAT",Bogor,"Bogor Timur",16143,processing,paid,cod,,119000,,,3,,,,,50000,,,,,169000,,,,,,,,KMP,,,,,,,,,"Ukuran: Usia 47-48 Tahun Plus +2.25",,,1,,,,
CBC-203,"A.3 Kabel Casan Hp 3IN1","Hana Putri",,081234567898,"Jl. Teratai No. 15, Denpasar",BALI,Denpasar,"Denpasar Barat",80113,processing,paid,cod,,25000,,,1,,,,,50000,,,,,75000,,,,,,,,KCHP,,,,,,,,,,,,1,,,,
CBC-301,"A.3 Kacamata Baca & Jalan","Indra Maulana",,081234567899,"Jl. Flamboyan No. 4, Banda Aceh","NANGGROE ACEH DARUSSALAM (NAD)","Banda Aceh","Kuta Alam",23126,pending,paid,bank_transfer,,119000,,,1,,,,,50000,,,,,169000,,,,,,,,KBJ,,,,,,,,,"Promo Beli 1 Dapat 2 - Ukuran: Usia 45-46 Tahun Plus +1.50",,,1,,,,
CBC-302,"A.3 Kacamata Multifokus Photocromic","Joko Susilo",,081234567810,"Jl. Cempaka No. 8, Banjarmasin","KALIMANTAN SELATAN",Banjarmasin,"Banjarmasin Timur",70239,pending,paid,cod,,119000,,,1,,,,,50000,,,,,169000,,,,,,,,KMP,,,,,,,,,"Ukuran: Usia 44-45 Tahun Plus +1.25",,,1,,,,
