order_id,product,name,email,phone,address,province,city,subdistrict,zip,status,payment_status,payment_method,payment_info,product_price,cogs,discount,quantity,bump,bump_price,notes,courier,shipping_cost,cod_cost,shipping_markup,receipt_number,other_cost,gross_revenue,net_revenue,created_at,processing_at,completed_at,paid_at,handled_by,coupon,product_code,utm_campaign,utm_medium,utm_source,utm_content,utm_term,tags,dropshipper_name,dropshipper_phone,variation,order_type,reseller_name,weight,original_shipping_cost,ip_address,variation_code,shipping_method
RULES-001,"A.3 Kacamata Multifokus Photocromic","EXP: real / sicepat",,08123450001,"Jl. Uji 1","Jawa Barat",Bandung,Coblong,40132,processing,paid,cod,,129000,,,1,,,"status=processing -> real; cod+Jabar -> sicepat; Plus +1.50 -> varian KMP+1.5",,,,,,,,,,,,,,,KMP,,,,,,,,,"Ukuran: Usia 44-45 Tahun Plus +1.50",,,,,,,
RULES-002,"A.3 Kacamata Multifokus Photocromic","EXP: tembakan / spx",,08123450002,"Jl. Uji 2","Sumatera Barat","Kab. Padang Pariaman","Nan Sabaris",25571,pending,paid,cod,,129000,,,1,,,"status=pending+paid -> tembakan; tembakan SELALU courier spx (override rules)",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-003,"A.3 Kacamata Multifokus Photocromic","EXP: belum_diproses / -",,08123450003,"Jl. Uji 3","Jawa Barat",Bandung,Coblong,40132,pending,unpaid,cod,,129000,,,1,,,"status=pending+unpaid -> belum_diproses; courier null (badge ""-"")",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-004,"A.3 Kacamata Multifokus Photocromic","EXP: cancel / -",,08123450004,"Jl. Uji 4","Jawa Barat",Bandung,Coblong,40132,cancelled,paid,bank_transfer,,129000,,,1,,,"status=cancelled -> cancel; courier null",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-005,"A.3 Kacamata Multifokus Photocromic","EXP: completed (di-skip)",,08123450005,"Jl. Uji 5","Jawa Barat",Bandung,Coblong,40132,completed,paid,cod,,129000,,,1,,,"status=completed -> TIDAK disimpan; muncul di pesan ""errors"" modal Preview, tidak ikut batch",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-006,"A.3 Kacamata Multifokus Photocromic","EXP: flix-tf",,08123450006,"Jl. Uji 6","Jawa Barat",Bandung,Coblong,40132,processing,paid,bank_transfer,,129000,,,1,,,"payment_method=bank_transfer -> flix-tf (semua provinsi)",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-007,"A.3 Kacamata Multifokus Photocromic","EXP: flix-idx",,08123450007,"Jl. Uji 7","Sumatera Barat","Kab. Padang Pariaman","Nan Sabaris",25571,processing,paid,cod,,129000,,,1,,,"cod + provinsi Sumatera -> flix-idx; sekaligus uji kalibrasi ""Sumatera""->""SUMATRA BARAT""",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-008,"A.3 Kacamata Multifokus Photocromic","EXP: sicepat",,08123450008,"Jl. Uji 8",Jakarta,"Kebayoran Baru","Kebayoran Baru",12120,processing,paid,cod,,129000,,,1,,,"cod + Jawa/Bali -> sicepat (template SiCepat); sekaligus uji mapping ""Jakarta"" -> ""DKI JAKARTA""",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-009,"A.3 Kacamata Multifokus Photocromic","EXP: flix-spx",,08123450009,"Jl. Uji 9","Kalimantan Selatan",Banjarmasin,"Banjarmasin Barat",70114,processing,paid,cod,,129000,,,1,,,"cod + Kalimantan -> flix-spx",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-010,"A.3 Kacamata Multifokus Photocromic","EXP: spx (fallback)",,08123450010,"Jl. Uji 10","Pulau Tak Dikenal","Kota Misteri",Xyz,00000,processing,paid,cod,,129000,,,1,,,"provinsi tidak punya rule -> fallback spx",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-011,"A.3 Kacamata Multifokus Photocromic","EXP: flix-spx",,08123450011,"Jl. Uji 11",Aceh,"Banda Aceh","Kuta Alam",23126,processing,paid,cod,,129000,,,1,,,"uji mapping ""Aceh"" -> ""NANGGROE ACEH DARUSSALAM (NAD)"" -> flix-spx",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
RULES-012,"A.3 Kacamata Multifokus Photocromic","EXP: belum_diproses (baru)",,08123450012,"Jl. Duplikat 1","Jawa Barat",Bandung,Coblong,40132,pending,unpaid,cod,,129000,,,1,,,"signature phone+product+address pertama -> normal belum_diproses",,,,,,,,,,,,,,,KMP,,,,,,,,,,,,,,,,
